TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,4,1,4,7,10XX BEACH AVE,West End,490197.8719,5458238.7921
Break and Enter Commercial,2023,4,3,0,50,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2023,5,11,18,0,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2023,8,9,4,31,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2023,10,8,13,34,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2023,10,16,23,0,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2023,8,29,3,53,10XX BIDWELL ST,West End,489996.5444,5459474.9361
Break and Enter Commercial,2023,9,2,4,24,10XX BIDWELL ST,West End,489996.5444,5459474.9361
Break and Enter Commercial,2023,12,12,5,40,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2023,3,16,4,0,10XX BROUGHTON ST,West End,490263.0875,5459187.2024
Break and Enter Commercial,2023,12,5,14,34,10XX BURRARD ST,Central Business District,490759.5183,5458639.4431
Break and Enter Commercial,2023,8,12,1,3,10XX BUTE ST,West End,490409.3152,5458906.5129
Break and Enter Commercial,2023,3,17,15,23,10XX BUTE ST,West End,490419.2021,5458916.588
Break and Enter Commercial,2023,7,9,21,0,10XX CAMBIE ST,Central Business District,491396.1078,5458155.3193
Break and Enter Commercial,2023,2,4,2,57,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2023,2,7,3,33,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2023,3,13,4,45,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2023,8,15,17,25,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Break and Enter Commercial,2023,4,6,23,29,10XX CARDERO ST,West End,490028.4414,5459277.665
Break and Enter Commercial,2023,5,31,0,59,10XX CARDERO ST,West End,490028.4414,5459277.665
Break and Enter Commercial,2023,11,21,0,0,10XX CHILCO ST,West End,489684.0002,5459829.7152
Break and Enter Commercial,2023,11,11,0,0,10XX CHILCO ST,West End,489700.7116,5459833.7407
Break and Enter Commercial,2023,1,2,1,36,10XX CLARK DR,Strathcona,494373.0788,5458049.7484
Break and Enter Commercial,2023,2,2,1,22,10XX CLARK DR,Strathcona,494373.0788,5458049.7484
Break and Enter Commercial,2023,1,15,15,30,10XX CLARK DR,Strathcona,494373.4663,5458099.3085
Break and Enter Commercial,2023,9,5,6,14,10XX COMMERCIAL DR,Grandview-Woodland,494946.6792,5458090.6068
Break and Enter Commercial,2023,1,26,4,37,10XX COMMERCIAL DR,Grandview-Woodland,494946.8873,5458110.933
Break and Enter Commercial,2023,1,5,5,42,10XX DAVIE ST,West End,490478.0723,5458619.0694
Break and Enter Commercial,2023,7,16,6,32,10XX DAVIE ST,West End,490488.9907,5458595.4614
Break and Enter Commercial,2023,3,6,5,41,10XX DAVIE ST,West End,490500.3088,5458584.3009
Break and Enter Commercial,2023,8,6,5,20,10XX DAVIE ST,West End,490518.0473,5458579.6513
Break and Enter Commercial,2023,3,11,7,19,10XX DAVIE ST,West End,490547.508,5458537.759
Break and Enter Commercial,2023,8,16,4,0,10XX DAVIE ST,West End,490551.2407,5458534.0784
Break and Enter Commercial,2023,10,3,7,50,10XX DAVIE ST,West End,490551.2407,5458534.0784
Break and Enter Commercial,2023,8,15,19,39,10XX DENMAN ST,West End,489843.4078,5459551.9545
Break and Enter Commercial,2023,5,1,18,0,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.9505
Break and Enter Commercial,2023,1,19,8,19,10XX GRANVILLE ST,Central Business District,490976.3891,5458424.1806
Break and Enter Commercial,2023,9,18,4,30,10XX GRANVILLE ST,Central Business District,491021.2753,5458470.0718
Break and Enter Commercial,2023,10,15,19,0,10XX HAMILTON ST,Central Business District,491228.7215,5458179.0041
Break and Enter Commercial,2023,3,9,5,18,10XX HAMILTON ST,Central Business District,491231.5917,5458181.9261
Break and Enter Commercial,2023,4,26,4,52,10XX HAMILTON ST,Central Business District,491285.292,5458223.5386
Break and Enter Commercial,2023,1,5,1,0,10XX HARO ST,West End,490899.0253,5458974.0656
Break and Enter Commercial,2023,2,4,4,49,10XX HARO ST,West End,490899.0253,5458974.0656
Break and Enter Commercial,2023,11,20,17,0,10XX HARO ST,West End,490907.1712,5458965.9806
Break and Enter Commercial,2023,10,17,16,0,10XX HARWOOD ST,West End,490347.953,5458425.7016
